AreaCode,PercentAtRisk,NumPropsInRisk,DamageNow,MinorRisk,ModerateRisk,MajorRisk,SevereRisk,ExtremeRisk,FloodingLikelihood,FloodChance,Adaptation
60601,7,72,500,0,45,26,1,0,0.2,72,982
60601,7,72,500,0,45,26,1,0,1,28,982
60601,7,72,500,0,45,26,1,0,5,1,982
60601,7,72,500,0,45,26,1,0,20,0,982
60602,0,0,0,0,0,0,0,0,0.2,0,160
60602,0,0,0,0,0,0,0,0,1,0,160
60602,0,0,0,0,0,0,0,0,5,0,160
60602,0,0,0,0,0,0,0,0,20,0,160
60603,2,2,0,0,0,1,1,0,0.2,2,129
60603,2,2,0,0,0,1,1,0,1,2,129
60603,2,2,0,0,0,1,1,0,5,2,129
60603,2,2,0,0,0,1,1,0,20,0,129
60604,6,13,0,0,6,7,0,0,0.2,13,210
60604,6,13,0,0,6,7,0,0,1,7,210
60604,6,13,0,0,6,7,0,0,5,0,210
60604,6,13,0,0,6,7,0,0,20,0,210
60605,53,838,167800,0,327,507,1,0,0.2,838,1578
60605,53,838,167800,0,327,507,1,0,1,507,1578
60605,53,838,167800,0,327,507,1,0,5,3,1578
60605,53,838,167800,0,327,507,1,0,20,0,1578
60606,33,96,101500,0,15,31,4,46,0.2,96,293
60606,33,96,101500,0,15,31,4,46,1,81,293
60606,33,96,101500,0,15,31,4,46,5,50,293
60606,33,96,101500,0,15,31,4,46,20,47,293
60607,70,3261,291100,0,2219,998,29,12,0.2,3261,4720
60607,70,3261,291100,0,2219,998,29,12,1,844,4720
60607,70,3261,291100,0,2219,998,29,12,5,64,4720
60607,70,3261,291100,0,2219,998,29,12,20,12,4720
60608,52,8240,5200000,173,4852,1766,250,1241,0.2,8240,16068
60608,52,8240,5200000,173,4852,1766,250,1241,1,3172,16068
60608,52,8240,5200000,173,4852,1766,250,1241,5,1978,16068
60608,52,8240,5200000,173,4852,1766,250,1241,20,1606,16068
60609,64,13004,3100000,367,8234,3065,712,801,0.2,13000,20496
60609,64,13004,3100000,367,8234,3065,712,801,1,4698,20496
60609,64,13004,3100000,367,8234,3065,712,801,5,2522,20496
60609,64,13004,3100000,367,8234,3065,712,801,20,2352,20496
60610,22,719,1300000,3,206,489,16,5,0.2,719,3236
60610,22,719,1300000,3,206,489,16,5,1,510,3236
60610,22,719,1300000,3,206,489,16,5,5,207,3236
60610,22,719,1300000,3,206,489,16,5,20,0,3236
60611,8,88,1500,1,16,72,0,0,0.2,88,1060
60611,8,88,1500,1,16,72,0,0,1,69,1060
60611,8,88,1500,1,16,72,0,0,5,1,1060
60611,8,88,1500,1,16,72,0,0,20,0,1060
60612,36,4205,471400,93,3452,698,0,0,0.2,4205,11766
60612,36,4205,471400,93,3452,698,0,0,1,450,11766
60612,36,4205,471400,93,3452,698,0,0,5,0,11766
60612,36,4205,471400,93,3452,698,0,0,20,0,11766
60613,11,497,NA,45,386,111,0,0,0.2,497,5068
60613,11,497,NA,45,386,111,0,0,1,141,5068
60613,11,497,NA,45,386,111,0,0,5,0,5068
60613,11,497,NA,45,386,111,0,0,20,0,5068
60614,15,1450,129000,130,907,489,2,1,0.2,1450,10437
60614,15,1450,129000,130,907,489,2,1,1,375,10437
60614,15,1450,129000,130,907,489,2,1,5,9,10437
60614,15,1450,129000,130,907,489,2,1,20,0,10437
60615,28,1249,462800,57,489,666,78,15,0.2,1249,4727
60615,28,1249,462800,57,489,666,78,15,1,755,4727
60615,28,1249,462800,57,489,666,78,15,5,129,4727
60615,28,1249,462800,57,489,666,78,15,20,85,4727
60616,24,2173,213800,93,1327,734,74,7,0.2,2173,9478
60616,24,2173,213800,93,1327,734,74,7,1,763,9478
60616,24,2173,213800,93,1327,734,74,7,5,139,9478
60616,24,2173,213800,93,1327,734,74,7,20,7,9478
60617,23,6517,5400,259,3356,2859,286,16,0.2,6517,30156
60617,23,6517,5400,259,3356,2859,286,16,1,3009,30156
60617,23,6517,5400,259,3356,2859,286,16,5,51,30156
60617,23,6517,5400,259,3356,2859,286,16,20,9,30156
60618,75,13840,12500000,146,4679,8286,699,85,0.2,13800,18607
60618,75,13840,12500000,146,4679,8286,699,85,1,8339,18607
60618,75,13840,12500000,146,4679,8286,699,85,5,2325,18607
60618,75,13840,12500000,146,4679,8286,699,85,20,441,18607
60619,22,3851,3300,592,1387,2370,88,6,0.2,3851,20513
60619,22,3851,3300,592,1387,2370,88,6,1,2247,20513
60619,22,3851,3300,592,1387,2370,88,6,5,11,20513
60619,22,3851,3300,592,1387,2370,88,6,20,0,20513
60620,14,2847,14900,230,1296,1250,301,0,0.2,2847,21408
60620,14,2847,14900,230,1296,1250,301,0,1,1400,21408
60620,14,2847,14900,230,1296,1250,301,0,5,4,21408
60620,14,2847,14900,230,1296,1250,301,0,20,4,21408
60621,51,6635,1000000,161,2303,4082,165,0,0.2,6635,13121
60621,51,6635,1000000,161,2303,4082,165,0,1,4149,13121
60621,51,6635,1000000,161,2303,4082,165,0,5,1139,13121
60621,51,6635,1000000,161,2303,4082,165,0,20,0,13121
60622,58,6119,7800000,216,2520,1145,1239,1080,0.2,6119,10649
60622,58,6119,7800000,216,2520,1145,1239,1080,1,3842,10649
60622,58,6119,7800000,216,2520,1145,1239,1080,5,2718,10649
60622,58,6119,7800000,216,2520,1145,1239,1080,20,2153,10649
60623,64,11080,2600000,453,7113,3139,80,438,0.2,11100,17502
60623,64,11080,2600000,453,7113,3139,80,438,1,3592,17502
60623,64,11080,2600000,453,7113,3139,80,438,5,822,17502
60623,64,11080,2600000,453,7113,3139,80,438,20,425,17502
60624,8,764,161700,126,420,323,9,0,0.2,764,10840
60624,8,764,161700,126,420,323,9,0,1,322,10840
60624,8,764,161700,126,420,323,9,0,5,1,10840
60624,8,764,161700,126,420,323,9,0,20,1,10840
60625,53,5913,10100000,88,1478,3613,524,225,0.2,5913,11252
60625,53,5913,10100000,88,1478,3613,524,225,1,4219,11252
60625,53,5913,10100000,88,1478,3613,524,225,5,1711,11252
60625,53,5913,10100000,88,1478,3613,524,225,20,29,11252
60626,22,820,3100,34,260,544,16,0,0.2,820,3948
60626,22,820,3100,34,260,544,16,0,1,485,3948
60626,22,820,3100,34,260,544,16,0,5,1,3948
60626,22,820,3100,34,260,544,16,0,20,1,3948
60628,11,3024,54200,158,1752,1257,11,1,0.2,3024,27803
60628,11,3024,54200,158,1752,1257,11,1,1,1218,27803
60628,11,3024,54200,158,1752,1257,11,1,5,16,27803
60628,11,3024,54200,158,1752,1257,11,1,20,3,27803
60629,16,3425,100,541,2570,855,0,0,0.2,3425,24977
60629,16,3425,100,541,2570,855,0,0,1,757,24977
60629,16,3425,100,541,2570,855,0,0,5,0,24977
60629,16,3425,100,541,2570,855,0,0,20,0,24977
60630,6,889,301100,75,490,351,22,23,0.2,889,15289
60630,6,889,301100,75,490,351,22,23,1,380,15289
60630,6,889,301100,75,490,351,22,23,5,28,15289
60630,6,889,301100,75,490,351,22,23,20,0,15289
60631,5,417,800,28,296,120,0,1,0.2,417,9850
60631,5,417,800,28,296,120,0,1,1,107,9850
60631,5,417,800,28,296,120,0,1,5,1,9850
60631,5,417,800,28,296,120,0,1,20,1,9850
60632,76,14624,3400000,116,4533,10018,7,16,0.2,14600,
60632,76,14624,3400000,116,4533,10018,7,16,1,7965,
60632,76,14624,3400000,116,4533,10018,7,16,5,152,
60632,76,14624,3400000,116,4533,10018,7,16,20,21,
60633,22,1618,176200,8,415,916,273,12,0.2,1618,
60633,22,1618,176200,8,415,916,273,12,1,1185,
60633,22,1618,176200,8,415,916,273,12,5,298,
60633,22,1618,176200,8,415,916,273,12,20,218,
60634,9,1690,88300,184,1023,608,55,4,0.2,1690,
60634,9,1690,88300,184,1023,608,55,4,1,546,
60634,9,1690,88300,184,1023,608,55,4,5,5,
60634,9,1690,88300,184,1023,608,55,4,20,4,
60636,39,5929,878100,154,2044,2876,948,0,0.2,5929,15623
60636,39,5929,878100,154,2044,2876,948,0,1,3776,15623
60636,39,5929,878100,154,2044,2876,948,0,5,1203,15623
60636,39,5929,878100,154,2044,2876,948,0,20,7,15623
60637,13,862,47800,270,789,42,22,9,0.2,862,9024
60637,13,862,47800,270,789,42,22,9,1,52,9024
60637,13,862,47800,270,789,42,22,9,5,41,9024
60637,13,862,47800,270,789,42,22,9,20,29,9024
60638,32,6449,6000000,85,1088,5207,117,0,0.2,6449,20601
60638,32,6449,6000000,85,1088,5207,117,0,1,5389,20601
60638,32,6449,6000000,85,1088,5207,117,0,5,2430,20601
60638,32,6449,6000000,85,1088,5207,117,0,20,63,20601
60639,7,940,200,177,601,339,0,0,0.2,940,16646
60639,7,940,200,177,601,339,0,0,1,345,16646
60639,7,940,200,177,601,339,0,0,5,0,16646
60639,7,940,200,177,601,339,0,0,20,0,16646
60640,11,628,100,22,231,385,12,0,0.2,628,5671
60640,11,628,100,22,231,385,12,0,1,354,5671
60640,11,628,100,22,231,385,12,0,5,0,5671
60640,11,628,100,22,231,385,12,0,20,0,5671
60641,19,2544,8400,262,1249,1214,81,0,0.2,2544,14946
60641,19,2544,8400,262,1249,1214,81,0,1,1196,14946
60641,19,2544,8400,262,1249,1214,81,0,5,0,14946
60641,19,2544,8400,262,1249,1214,81,0,20,0,14946
60642,77,3382,2700000,31,1190,927,654,589,0.2,3382,4383
60642,77,3382,2700000,31,1190,927,654,589,1,2220,4383
60642,77,3382,2700000,31,1190,927,654,589,5,1499,4383
60642,77,3382,2700000,31,1190,927,654,589,20,967,4383
60643,4,745,9700,134,399,321,25,0,0.2,745,20779
60643,4,745,9700,134,399,321,25,0,1,342,20779
60643,4,745,9700,134,399,321,25,0,5,1,20779
60643,4,745,9700,134,399,321,25,0,20,0,20779
60644,27,2432,3600,165,1258,1171,3,0,0.2,2432,9795
60644,27,2432,3600,165,1258,1171,3,0,1,806,9795
60644,27,2432,3600,165,1258,1171,3,0,5,9,9795
60644,27,2432,3600,165,1258,1171,3,0,20,2,9795
60645,45,3156,1000000,123,1646,1212,211,0,0.2,3156,7098
60645,45,3156,1000000,123,1646,1212,211,0,1,2089,7098
60645,45,3156,1000000,123,1646,1212,211,0,5,958,7098
60645,45,3156,1000000,123,1646,1212,211,0,20,229,7098
60646,4,382,175100,27,219,106,36,20,0.2,382,10014
60646,4,382,175100,27,219,106,36,20,1,153,10014
60646,4,382,175100,27,219,106,36,20,5,30,10014
60646,4,382,175100,27,219,106,36,20,20,2,10014
60647,33,5320,5500000,195,1662,997,1647,868,0.2,5320,16109
60647,33,5320,5500000,195,1662,997,1647,868,1,3753,16109
60647,33,5320,5500000,195,1662,997,1647,868,5,2961,16109
60647,33,5320,5500000,195,1662,997,1647,868,20,2371,16109
60649,13,845,100,43,344,500,0,1,0.2,845,7080
60649,13,845,100,43,344,500,0,1,1,484,7080
60649,13,845,100,43,344,500,0,1,5,1,7080
60649,13,845,100,43,344,500,0,1,20,1,7080
60651,18,2133,2200,304,1079,1054,0,0,0.2,2133,13590
60651,18,2133,2200,304,1079,1054,0,0,1,996,13590
60651,18,2133,2200,304,1079,1054,0,0,5,0,13590
60651,18,2133,2200,304,1079,1054,0,0,20,0,13590
60652,9,1014,100,188,816,196,2,0,0.2,1014,13288
60652,9,1014,100,188,816,196,2,0,1,238,13288
60652,9,1014,100,188,816,196,2,0,5,0,13288
60652,9,1014,100,188,816,196,2,0,20,0,13288
60653,6,393,100,9,98,295,0,0,0.2,393,6579
60653,6,393,100,9,98,295,0,0,1,287,6579
60653,6,393,100,9,98,295,0,0,5,0,6579
60653,6,393,100,9,98,295,0,0,20,0,6579
60654,68,886,3100000,15,318,463,64,28,0.2,886,1313
60654,68,886,3100000,15,318,463,64,28,1,547,1313
60654,68,886,3100000,15,318,463,64,28,5,317,1313
60654,68,886,3100000,15,318,463,64,28,20,42,1313
60655,11,1102,1800,78,452,622,27,0,0.2,1102,10745
60655,11,1102,1800,78,452,622,27,0,1,612,10745
60655,11,1102,1800,78,452,622,27,0,5,26,10745
60655,11,1102,1800,78,452,622,27,0,20,0,10745
60656,8,576,86000,27,193,379,2,2,0.2,576,7341
60656,8,576,86000,27,193,379,2,2,1,372,7341
60656,8,576,86000,27,193,379,2,2,5,6,7341
60656,8,576,86000,27,193,379,2,2,20,3,7341
60657,10,726,17900,92,497,221,1,0,0.2,726,7829
60657,10,726,17900,92,497,221,1,0,1,209,7829
60657,10,726,17900,92,497,221,1,0,5,1,7829
60657,10,726,17900,92,497,221,1,0,20,0,7829
60659,66,4266,1700000,139,2260,1872,57,4,0.2,4266,6613
60659,66,4266,1700000,139,2260,1872,57,4,1,1812,6613
60659,66,4266,1700000,139,2260,1872,57,4,5,302,6613
60659,66,4266,1700000,139,2260,1872,57,4,20,106,6613
60660,15,520,200,40,164,354,2,0,0.2,520,3796
60660,15,520,200,40,164,354,2,0,1,319,3796
60660,15,520,200,40,164,354,2,0,5,0,3796
60660,15,520,200,40,164,354,2,0,20,0,3796
60661,73,386,45200,1,48,337,0,0,0.2,386,527
60661,73,386,45200,1,48,337,0,0,1,311,527
60661,73,386,45200,1,48,337,0,0,5,0,527
60661,73,386,45200,1,48,337,0,0,20,0,527
